Date,High,Low,Open,Close,Volume,Adj Close
2020-10-13,519.5999755859375,511.8999938964844,512.1900024414062,514.3099975585938,2438100,514.3099975585938
2020-10-14,516.9500122070312,501.6000061035156,514.3400268554688,506.30999755859375,2032900,506.30999755859375
2020-10-15,502.5,491.8500061035156,499.260009765625,501.1499938964844,2042800,501.1499938964844
2020-10-16,510.3399963378906,500.70001220703125,504.0,502.82000732421875,2441200,502.82000732421875
2020-10-19,507.75,493.20001220703125,507.75,495.20001220703125,1931400,495.20001220703125
2020-10-20,500.1700134277344,491.9100036621094,495.25,494.5799865722656,1453900,494.5799865722656
2020-10-21,499.80999755859375,490.57000732421875,492.04998779296875,495.9599914550781,1369700,495.9599914550781
2020-10-22,496.8599853515625,479.3999938964844,496.7200012207031,483.6000061035156,2613700,483.6000061035156
2020-10-23,488.510009765625,479.510009765625,486.4100036621094,488.5,1899300,488.5
2020-10-26,488.7799987792969,470.1300048828125,480.8800048828125,475.20001220703125,2337400,475.20001220703125
2020-10-27,481.8900146484375,473.4700012207031,479.7799987792969,478.55999755859375,1896500,478.55999755859375
2020-10-28,470.9700012207031,455.8800048828125,469.1700134277344,456.9700012207031,2677300,456.9700012207031
2020-10-29,464.7300109863281,457.2799987792969,459.32000732421875,461.1099853515625,2125300,461.1099853515625
2020-10-30,459.5,442.510009765625,458.32000732421875,447.1000061035156,3127000,447.1000061035156
2020-11-02,456.19000244140625,438.94000244140625,451.0,444.94000244140625,2479000,444.94000244140625
2020-11-03,457.8399963378906,445.6700134277344,448.989990234375,454.0199890136719,1758600,454.0199890136719
2020-11-04,494.94000244140625,474.4700012207031,477.92999267578125,487.2300109863281,4524300,487.2300109863281
2020-11-05,502.5299987792969,489.79998779296875,499.2699890136719,496.4700012207031,2401000,496.4700012207031
2020-11-06,498.7200012207031,483.0,494.95001220703125,494.6300048828125,1956300,494.6300048828125
2020-11-09,499.4100036621094,470.760009765625,494.70001220703125,471.1400146484375,3625300,471.1400146484375
2020-11-10,468.010009765625,446.0,466.7200012207031,452.0,4920300,452.0
2020-11-11,470.1199951171875,457.5,458.489990234375,467.75,2633300,467.75
2020-11-12,474.8999938964844,461.1499938964844,473.489990234375,462.5799865722656,1987357,462.5799865722656
