Date,High,Low,Open,Close,Volume,Adj Close
2020-10-13,341.70001220703125,331.7439880371094,333.3500061035156,337.8800048828125,3501500,337.8800048828125
2020-10-14,339.5,319.3800048828125,338.0,323.4200134277344,3282000,323.4200134277344
2020-10-15,327.9649963378906,310.3900146484375,313.0199890136719,325.8999938964844,2891600,325.8999938964844
2020-10-16,331.44000244140625,323.8059997558594,328.1000061035156,326.4700012207031,1578800,326.4700012207031
2020-10-19,338.8760070800781,326.44500732421875,330.0,329.5899963378906,1899500,329.5899963378906
2020-10-20,328.760009765625,308.5799865722656,326.0,309.3800048828125,3160300,309.3800048828125
2020-10-21,315.7279968261719,297.3699951171875,313.989990234375,298.70001220703125,2945100,298.70001220703125
2020-10-22,302.0299987792969,287.010009765625,301.0,294.0299987792969,2394100,294.0299987792969
2020-10-23,307.1700134277344,289.1300048828125,293.6199951171875,306.1000061035156,2355600,306.1000061035156
2020-10-26,312.260009765625,295.1099853515625,308.0,300.6199951171875,4684500,300.6199951171875
2020-10-27,300.7900085449219,285.8299865722656,297.67999267578125,286.2900085449219,5935000,286.2900085449219
2020-10-28,297.20001220703125,277.32000732421875,283.3999938964844,296.9599914550781,3906000,296.9599914550781
2020-10-29,303.69000244140625,287.79998779296875,299.75,288.5799865722656,2174600,288.5799865722656
2020-10-30,289.7900085449219,273.760009765625,286.0299987792969,278.9700012207031,2401300,278.9700012207031
2020-11-02,284.6400146484375,269.70001220703125,277.739990234375,273.3800048828125,2272900,273.3800048828125
2020-11-03,283.5,270.0,273.1600036621094,280.3699951171875,1674500,280.3699951171875
2020-11-04,307.4599914550781,291.07000732421875,293.489990234375,306.19000244140625,3100200,306.19000244140625
2020-11-05,314.7300109863281,299.5369873046875,314.3900146484375,307.5400085449219,2287800,307.5400085449219
2020-11-06,305.29998779296875,288.20001220703125,302.8900146484375,292.1300048828125,3976000,292.1300048828125
2020-11-09,287.6499938964844,266.1400146484375,280.0,274.0,3088600,274.0
2020-11-10,274.5450134277344,254.82000732421875,270.0,266.260009765625,2411700,266.260009765625
2020-11-11,281.08099365234375,266.6000061035156,268.07000732421875,279.1700134277344,1926900,279.1700134277344
2020-11-12,288.75,278.75,280.57000732421875,285.6700134277344,1413414,285.6700134277344
