Date,MSFT,GOOGL,AMZN,DOCU,SHOP,OSTK
2019-07-25,137.79118347167972,1135.93994140625,1973.8199462890625,52.47000122070313,333.3399963378906,19.209999084472656
2019-07-26,138.92149353027344,1245.219970703125,1943.050048828125,54.68000030517578,336.5400085449219,20.049999237060547
2019-07-29,138.61680603027344,1241.8399658203125,1912.449951171875,53.9000015258789,319.7099914550781,22.07999992370605
2019-07-30,137.94844055175778,1228.0,1898.530029296875,54.1500015258789,314.29998779296875,22.8799991607666
2019-07-31,133.93826293945312,1218.199951171875,1866.780029296875,51.72000122070313,317.8800048828125,22.520000457763672
2019-08-01,135.69761657714844,1211.780029296875,1855.3199462890625,49.93000030517578,341.3900146484375,21.270000457763672
2019-08-02,134.55746459960938,1196.3199462890625,1823.239990234375,48.79999923706055,332.19000244140625,21.1299991607666
2019-08-05,129.94773864746094,1154.75,1765.1300048828125,44.70000076293945,321.3900146484375,21.600000381469727
2019-08-06,132.38528442382812,1171.0799560546875,1787.8299560546875,44.59000015258789,332.6700134277344,22.040000915527344
2019-08-07,132.96517944335938,1175.9100341796875,1793.4000244140625,45.040000915527344,341.30999755859375,22.09000015258789
2019-08-08,136.51341247558594,1206.18994140625,1832.8900146484373,46.36000061035156,357.80999755859375,21.290000915527344
2019-08-09,135.35362243652344,1188.9000244140625,1807.5799560546875,45.33000183105469,369.95001220703125,25.190000534057614
2019-08-12,133.46644592285156,1174.5,1784.9200439453125,44.209999084472656,366.7300109863281,24.96999931335449
2019-08-13,136.22840881347656,1196.72998046875,1824.3399658203125,45.61999893188477,369.2300109863281,20.57999992370605
2019-08-14,132.12594604492188,1164.25,1762.9599609375,43.90999984741211,352.79998779296875,15.970000267028807
2019-08-15,131.83009338378906,1169.3199462890625,1776.1199951171875,44.13000106811523,351.07000732421875,18.459999084472656
2019-08-16,134.2462158203125,1179.2099609375,1792.5699462890625,44.810001373291016,358.739990234375,18.11000061035156
2019-08-19,136.49465942382812,1200.43994140625,1816.1199951171875,44.540000915527344,361.8299865722656,18.899999618530273
2019-08-20,135.36056518554688,1183.530029296875,1801.3800048828125,44.63000106811523,374.9700012207031,19.07999992370605
2019-08-21,136.869384765625,1191.5799560546875,1823.5400390625,45.02000045776367,389.8299865722656,19.5
2019-08-22,135.87336730957028,1191.52001953125,1804.6600341796875,44.724998474121094,388.5400085449219,21.1200008392334
2019-08-23,131.54411315917972,1153.5799560546875,1749.6199951171875,43.97999954223633,382.75,19.88999938964844
2019-08-26,133.57562255859378,1171.1800537109375,1768.8699951171875,45.22999954223633,395.9599914550781,16.75
2019-08-27,133.86158752441406,1170.8199462890625,1761.8299560546875,44.7599983215332,406.989990234375,17.120000839233402
2019-08-28,133.68408203125,1173.75,1764.25,45.43999862670898,394.7999877929688,16.950000762939453
2019-08-29,136.20866394042972,1194.239990234375,1786.4000244140625,46.41999816894531,391.7099914550781,16.379999160766598
2019-08-30,135.9522705078125,1190.530029296875,1776.2900390625,46.68999862670898,385.3900146484375,15.729999542236328
2019-09-03,134.15745544433594,1169.550048828125,1789.8399658203125,46.61000061035156,383.9100036621094,15.06999969482422
2019-09-04,135.72544860839844,1182.27001953125,1800.6199951171875,46.849998474121094,386.489990234375,15.350000381469727
2019-09-05,138.11196899414062,1212.18994140625,1840.719970703125,46.25,392.7200012207031,16.139999389648438
2019-09-06,137.17510986328122,1206.3199462890625,1833.510009765625,56.27000045776367,380.4200134277344,16.899999618530273
2019-09-09,135.61697387695312,1205.27001953125,1831.3499755859373,58.56999969482422,358.6700134277344,19.46999931335449
2019-09-10,134.1968994140625,1205.699951171875,1820.550048828125,59.90999984741211,337.239990234375,21.31999969482422
2019-09-11,134.236328125,1220.0,1822.989990234375,63.29999923706055,347.510009765625,22.76000022888184
2019-09-12,135.61697387695312,1234.969970703125,1843.550048828125,62.93000030517578,356.6300048828125,26.71999931335449
2019-09-13,135.41973876953122,1240.030029296875,1839.3399658203125,62.4900016784668,338.30999755859375,24.93000030517578
2019-09-16,134.44343566894528,1231.6300048828125,1807.8399658203125,61.88000106811523,337.92999267578125,19.75
2019-09-17,135.48876953125,1229.8800048828125,1822.550048828125,61.9000015258789,328.82000732421875,17.600000381469727
2019-09-18,136.60313415527344,1232.6500244140625,1817.4599609375,63.29999923706055,325.8500061035156,16.190000534057614
2019-09-19,139.11784362792972,1238.75,1821.5,63.36000061035156,325.0,15.56999969482422
2019-09-20,137.51039123535156,1229.8399658203125,1794.1600341796875,64.80000305175781,318.82000732421875,14.970000267028807
2019-09-23,137.21455383300778,1234.68994140625,1785.300048828125,64.51999664306639,313.260009765625,11.1899995803833
2019-09-24,135.47891235351562,1218.3299560546875,1741.6099853515625,61.72000122070313,295.4700012207031,11.579999923706055
2019-09-25,137.43150329589844,1245.93994140625,1768.3299560546875,62.61000061035156,314.6000061035156,12.25
2019-09-26,137.6090087890625,1242.2900390625,1739.8399658203125,62.38999938964844,313.1400146484375,12.529999732971193
2019-09-27,135.82405090332028,1225.949951171875,1725.449951171875,60.63999938964844,305.69000244140625,11.229999542236328
