SNOW
RYAM
STOK
JMIA
BSTZ
SWTX
NET
PINS
SNAP
GM
LIT
BYDDY
FSR
GPS
CRNC
JD
FRHC
LOGI
FNGU
TSM
GNRC
ICLN
SEDG
CRWD
TXG
BBBY
DQ
UMC
SPT
JKS
BEPC
Z
NFE
FVRR
SWAV
SITM
GME
PTON
SQ
ZG
TSLA
NVDA
SE
NIO
RUN
PENN
ZM
NOW
NUAN
