LAD
LOW
LTHM
CVNA
CAMT
DKNG
SILK
ROKU
REGI
TPTX
TWLO
DDOG
LAC
MX
ETSY
LULU
HD
ADBE
PYPL
BABA
BBY
CHWY
AMD
TAN
NOVA
